EmployeeFirstName,EmployeeLastName,YearsExperience,Salary,LastPayout,Bonus
Tudor ,Cottrell,1.1,39343,3/5/2022,1819.983626
Jameel ,Ellison,1.3,46205,2/5/2022,413.8799768
Koby ,Draper,1.5,37731,4/5/2022,12.15762926
Shazia ,Cooper,2,,3/5/2022,715.9450978
Tara ,Hurst,2.2,"""39891""",3/5/2022,1641.888666
Reilly ,Mcgregor,2.9,56642',3/5/2022,1146.553429
Md ,Velez,3,"60,150",3/5/2022,1145.734109
Sahib ,Donaldson,3.2,54445,3/5/2022,1447.901354
Sahib ,Donaldson,3.2,54445,3/5/2022,1447.901354
Benas ,Lake,3.2,64445,4/5/2022,1947.28305
Ronny ,Rush,,57189,3/5/2022,1785.580089
Kye ,Morris,3.9,63218,3/5/2022,1302.989787
Louisa ,Mellor,NaN,53978,2/5/2022,989.2870849
Rohan ,Welsh,4,None,3/5/2022,1803.877926
Wilson ,Heaton,4.1,,4/5/2022,1682.046843
Tamika ,Park,4.5,61111,3/5/2022,638.8066358
Archie ,Kavanagh,4.9,67938,3/5/2022,1396.373915
Valentina ,Hunter,5.1,66029,3/5/2022,1793.516396
Brendon ,Jackson,5.3,83088,3/5/2022,189.2680735
Iylah ,Dejesus,5.9,81363,3/5/2022,1217.959074
Sameeha ,Horner,6,93940,3/5/2022,1131.039808
Sameeha ,Horner,6,93940,3/5/2022,1131.039808
Emmie ,Rowland,6.8,91738,3/5/2022,769.908376
Aleksandra ,Kendall,7.1,98273,2/5/2022,631.3348148
Vlad ,Robbins,7.9,101302,3/5/2022,1686.061469
Jena ,Fry,8.2,113812,4/5/2022,1503.554185
Fahad ,Elliott,8.7,109431,3/5/2022,968.5308788
Zishan ,Mckee,9,105582,3/5/2022,303.3328967
Zachariah ,Harding,9.5,116969,4/5/2022,1957.851131
Cienna ,Lord,96,112635,3/5/2022,1403.065982
Katarina ,Blevins,10.3,122391,2/5/2022,808.1098578
Imran ,Benton,10.5,12187200,3/5/2022,1360.345799
